fecha;turno;categoria;maquina;gramaje;ancho;peso_kg;metros_lineales;arranque;rangos;ajustes_de_maquina;merma_kg;merma_mts
17/02/2026;A;Poliester/COEX/;SIMPLEX 2;122.65;882;684;8101;24;26.5;0;50.5;466.83
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;2247;57978;47.2;0;0;47.2;846.75
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;297;5464;9;0;0;9;118.79
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;422;7732;16;0;0;16;211.18
17/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.2;900;124;28278;32;0;0;32;786.63
17/02/2026;B;Saranizado/COEX/;SIMPLEX 2;67.65;825;92;1584;6;0;0;6;107.5
17/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;310;4712;22;0;0;22;344.34
18/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;2803;72136;39;0;0;39;699.64
18/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.2;900;1761;39894;18;0;0;18;442.48
18/02/2026;B;BOPP/COEX/;SIMPLEX 2;52.08;960;2509;47050;39;0;0;39;780.04
18/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;1434;36967;20;0;0;20;358.79
18/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;70.08;710;1058;27296;22;0;0;22;442.15
19/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1080;791;23693;12;0;0;12;408.5
19/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;1291;25998;38;0;0;38;539.43
23/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1875;49261;32;0;0;32;936.42
23/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1328;34709;23;0;0;23;673.05
23/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1423;45735;18;0;0;18;632.91
23/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;3740;68114;60;0;0;60;791.93
23/02/2026;B;BOPP/Metalizado/;COMBI;27.2;1040;1958;60375;35;0;0;35;1237.27
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;631;11532;6.8;0;0;6.8;89.75
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;372;6803;7.5;0;0;7.5;98.99
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;62.72;960;644;10164;5;0;0;5;83.03
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;62.72;960;591;9149;10;0;10;20;332.14
24/02/2026;A;BOPP/COEX/;SIMPLEX 2;90.58;882;71;897;28.6;0;28.6;57.2;716.01
24/02/2026;A;BOPP/COEX/;SIMPLEX 2;90.68;960;423;5058;20;0;40;60;689.27
24/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;900;461;14886;11;0;0;11;386.78
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1075;34894;13;0;0;13;457.1
24/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.68;615;369;7959;11;0;0;11;246.09
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;588;15614;16;18;0;34;996.25
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;765;20389;14;0;0;14;410.22
24/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;62.92;800;598;11502;19;0;0;19;377.43
24/02/2026;B;BOPP/Metalizado/;COMBI;27.2;1040;1116;34587;23;0;0;23;813.07
24/02/2026;B;BOPP/Metalizado/;COMBI;27.4;960;1920;63604;17;0;0;17;646.29
25/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;3817;101193;19;0;0;19;556.73
